Lot ID,Category,Subcategory,Estimate,Has Bid,Current Time,New Time,Status,Details,Rule ID
1685,Buffer zone,Lifting and hoisting equipment,250.00,True,18:23:00,14:11,Updated,Time changed,6
1686,Buffer zone,Lifting and hoisting equipment,2500.00,True,15:55:00,18:30,Updated,Time changed,6
1687,Buffer zone,Lifting and hoisting equipment,2500.00,True,18:35:00,17:37,Updated,Time changed,6
1688,Top machines,Lifting and hoisting equipment,5000.00,False,14:08:00,15:27,Updated,Time changed,2
1689,Buffer zone,Lifting and hoisting equipment,300.00,True,16:50:00,14:10,Updated,Time changed,6
1690,Buffer zone,Lifting and hoisting equipment,100.00,True,14:41:00,16:40,Updated,Time changed,6
1691,Buffer zone,Lifting and hoisting equipment,100.00,True,16:43:00,17:11,Updated,Time changed,6
1692,Buffer zone,Lifting and hoisting equipment,100.00,True,18:36:00,17:53,Updated,Time changed,6
1693,Buffer zone,Lifting and hoisting equipment,100.00,True,16:39:00,15:43,Updated,Time changed,6
1694,Buffer zone,Lifting and hoisting equipment,100.00,True,18:02:00,18:56,Updated,Time changed,6
1695,Buffer zone,Lifting and hoisting equipment,100.00,True,16:44:00,16:00,Updated,Time changed,6
1696,Buffer zone,Lifting and hoisting equipment,100.00,True,16:01:00,15:03,Updated,Time changed,6
1697,Buffer zone,Lifting and hoisting equipment,100.00,True,18:21:00,15:20,Updated,Time changed,6
1698,Buffer zone,Lifting and hoisting equipment,100.00,False,15:49:00,16:42,Updated,Time changed,6
1699,Buffer zone,Lifting and hoisting equipment,100.00,False,18:38:00,17:51,Updated,Time changed,6
1700,Buffer zone,Lifting and hoisting equipment,20.00,True,14:23:00,16:25,Updated,Time changed,6
1701,Warm-up,manual tools,250.00,False,14:41:00,14:21,Updated,Time changed,1
1702,Other machines & welding,Forming machines,500.00,False,16:18:00,16:36,Updated,Time changed,3
1703,Buffer zone,Filtration systems,250.00,False,17:10:00,14:08,Updated,Time changed,6
